"id","host_id","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_verifications","neighbourhood_ward","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","availability_30","availability_60","availability_90","availability_365","number_of_reviews","reviews_per_month","review_scores_rating","instant_bookable"
11519973,15076045,"2014/05/04","within an hour",100,90,"t",2,"['email', 'phone']","Ward 54",-33.9144,18.39161,"Entire home/apt",2,1,0,2,810,4,14,4,1125,0,4,34,97,219,1.88,4.47,"f"
1.01e+18,437836003,"2021/12/28","within an hour",100,99,"f",165,"['email', 'phone']","Ward 54",-33.9118761,18.3922077,"Entire home/apt",2,1,1,1,1251,1,28,3.7,28,12,19,36,264,35,1.7,4.69,"t"
53619452,8135771,"2013/08/13","within a few hours",100,88,"t",1,"['email', 'phone', 'work_email']","Ward 115",-33.90791,18.39579,"Entire home/apt",4,1,2,2,1809,3,200,4.7,200,1,8,23,173,92,2.71,4.9,"f"
1.24e+18,14998084,"2014/05/02","within an hour",100,93,"f",5,"['email', 'phone', 'work_email']","Ward 21",-33.87371,18.64989,"Entire home/apt",4,1,1,3,1145,2,60,2,1125,27,57,87,175,3,0.25,4.67,"t"
1.46e+18,451992553,"2022/03/30","within an hour",93,57,"f",11,"['email', 'phone']","Ward 55",-33.87891,18.50338,"Private room",2,2,1,1,513,1,365,1,365,30,60,90,365,1,0.41,1,"f"
1.18e+18,92665782,"2016/08/30","within a day",100,91,"f",1,"['email', 'phone']","Ward 77",-33.92598,18.40514,"Entire home/apt",2,1,1,1,1380,5,365,5,365,0,0,0,85,6,0.61,5,"f"
1.41e+18,17182950,"2014/06/24","within an hour",100,87,"t",49,"['email', 'phone', 'work_email']","Ward 64",-34.1099645,18.4671531,"Entire home/apt",2,1,1,1,1006,2,1125,4.4,865.8,29,56,86,354,6,2.14,5,"f"
1.25e+18,8108425,"2013/08/12","within an hour",100,90,"t",72,"['email', 'phone', 'work_email']","Ward 115",-33.90888134,18.40474748,"Entire home/apt",8,3,4,5,6447,3,210,3.6,210,12,31,53,206,32,2.94,4.94,"f"
1.04e+18,36188442,"2015/06/19","within an hour",100,99,"t",7,"['email', 'phone', 'work_email']","Ward 54",-33.947465,18.3831,"Entire home/apt",2,1,1,1,1693,2,31,2,31,28,58,88,363,7,0.33,4.57,"t"
46488688,103792869,"2016/11/15","within a day",100,60,"f",4,"['email', 'phone']","Ward 61",-34.16300964,18.43120003,"Private room",2,1.5,1,1,727,2,30,2,30,19,40,57,304,18,0.31,4.61,"f"
1.5e+18,107681397,"2016/12/18","within an hour",100,96,"t",14,"['email', 'phone']","Ward 115",-33.9091424,18.4025009,"Entire home/apt",2,1,1,1,1587,1,365,3.8,365,0,6,36,279,1,1,5,"f"
1.31e+18,232396297,"2018/12/25","within an hour",100,77,"f",10,"['email', 'phone']","Ward 115",-33.93149789,18.44313037,"Private room",2,1,1,2,347,2,365,2,365,30,60,90,365,5,0.51,4.2,"f"
1.36e+18,27980864,"2015/02/19","within an hour",96,97,"f",72,"['email', 'phone']","Ward 115",-33.9082328,18.4023373,"Entire home/apt",2,1,1,1,1708,1,365,1,1125,22,42,60,317,5,0.88,4.4,"t"
1.07e+18,93770890,"2016/09/06","within an hour",98,99,"f",292,"['email', 'phone', 'work_email']","Ward 107",-33.79391,18.49549,"Entire home/apt",4,2,2,2,1543,1,365,1,1125,30,60,86,354,9,0.45,4.33,"t"
15112367,95738778,"2016/09/18","within a few hours",100,96,"t",7,"['email', 'phone']","Ward 9",-33.91244,18.65763,"Private room",1,1,1,1,323,7,1125,7,1125,0,26,56,147,53,0.49,4.83,"f"
1.05e+18,513747099,"2023/05/08","within an hour",97,87,"t",16,"['email', 'phone']","Ward 115",-33.9087103,18.4048332,"Entire home/apt",6,2.5,3,3,4430,2,31,2.4,60,15,40,43,144,30,1.4,4.83,"f"
19088665,113777427,"2017/01/29","within an hour",100,94,"f",3,"['email', 'phone']","Ward 54",-33.96527,18.37919,"Entire home/apt",2,1,1,1,1587,2,1125,2,1125,4,9,11,214,365,3.72,4.84,"f"
1.35e+18,676782504,"2025/02/03","within an hour",100,43,"f",1,"['email', 'phone']","Ward 59",-33.9892858,18.4602952,"Entire home/apt",6,2.5,3,5,3261,2,180,2.1,180,14,27,34,178,2,0.34,4.5,"f"
1.21e+18,547651576,"2023/11/22","within an hour",100,99,"f",14,"['email', 'phone']","Ward 85",-34.11962,18.84134,"Entire home/apt",2,1,1,1,689,1,365,1,365,25,55,82,255,1,0.11,4,"t"
1.03e+18,547175210,"2023/11/19","within an hour",100,63,"t",2,"['email', 'phone']","Ward 8",-33.89912575,18.70237284,"Entire home/apt",8,2,3,3,3000,2,21,2,21,21,51,75,78,3,0.16,5,"f"
13000943,71640838,"2016/05/12","within an hour",100,71,"f",7,"['email', 'phone']","Ward 83",-34.10237,18.81744,"Entire home/apt",4,1,2,2,1060,2,1125,2,1125,30,60,81,349,1,0.01,4,"f"
1.08e+18,107575425,"2016/12/17","within an hour",100,85,"f",19,"['email', 'phone']","Ward 30",-33.91773,18.55575,"Private room",1,3,1,1,266,2,365,2,365,28,58,88,268,7,0.36,4.86,"f"
10099559,51828074,"2015/12/20","within an hour",100,88,"t",1,"['email', 'phone']","Ward 54",-33.9516,18.3876,"Entire home/apt",2,1,1,1,3656,3,21,3.3,1125,2,12,17,126,100,0.86,5,"f"
1.06e+18,394934951,"2021/03/31","within an hour",100,85,"t",2,"['email', 'phone']","Ward 23",-33.80735957,18.47117085,"Entire home/apt",6,2,3,4,1411,3,150,4.1,150,7,22,23,137,24,1.87,4.83,"f"
1e+18,488733978,"2022/11/22","within an hour",91,99,"t",47,"['phone']","Ward 54",-33.9110451,18.3922732,"Entire home/apt",2,1,0,1,1339,1,60,1.9,60,10,40,70,345,4,0.27,4.5,"t"
7.46e+17,415211916,"2021/07/26","within an hour",90,92,"f",7,"['email', 'phone']","Ward 115",-33.90739,18.40623,"Entire home/apt",2,1,1,1,2185,1,28,1,28,18,18,18,18,42,1.2,4.67,"f"
8.17e+17,163050535,"2017/12/17","within an hour",100,95,"t",7,"['email', 'phone']","Ward 53",-33.94052,18.49711,"Private room",2,1,1,1,679,7,365,2,365,29,59,89,364,15,0.47,4.87,"f"
1.36e+18,331718345,"2020/01/29","within an hour",100,98,"t",2,"['email', 'phone']","Ward 54",-33.92437037,18.3789099,"Entire home/apt",2,1,1,1,1386,2,28,2.3,1125,5,23,49,276,19,2.6,5,"f"
5.73e+17,9496372,"2013/10/18","within a few hours",100,92,"f",2,"['phone']","Ward 54",-33.96146,18.37616,"Entire home/apt",8,4,4,4,8642,4,1125,4,1125,15,45,59,211,12,0.28,4.67,"f"
1.28e+18,23276018,"2014/11/03","within a few hours",100,86,"f",39,"['email', 'phone']","Ward 54",-33.9250405,18.3779325,"Entire home/apt",4,2,2,2,3880,4,365,4.4,365,30,60,88,259,5,0.52,5,"f"
31536172,102877810,"2016/11/07","within an hour",100,100,"t",1,"['email', 'phone']","Ward 59",-33.964,18.47034,"Entire home/apt",2,1,0,2,629,5,360,5,1125,6,11,21,225,85,1.05,4.87,"t"
9e+17,516644923,"2023/05/26","within a few hours",100,100,"f",2,"['email', 'phone']","Ward 54",-33.922169,18.3842612,"Entire home/apt",2,1,1,1,1622,2,365,2.3,1125,14,14,14,14,28,1.06,4.68,"f"
1.26e+18,555654506,"2024/01/10","within an hour",100,98,"f",12,"['email', 'phone']","Ward 61",-34.19255,18.43203,"Entire home/apt",2,1,0,0,1419,1,1080,1,1125,19,41,69,336,3,0.3,4.33,"f"
53001080,3886732,"2012/10/16","within an hour",99,88,"f",83,"['email', 'phone', 'work_email']","Ward 54",-33.95441818,18.37687111,"Entire home/apt",2,1,1,2,733,2,1125,3.8,1125,0,4,14,49,79,1.66,4.48,"f"
1.17e+18,127304448,"2017/04/24","within an hour",100,85,"t",29,"['email', 'phone']","Ward 115",-33.91027,18.41603,"Entire home/apt",4,2.5,2,2,8100,2,365,2,365,16,44,55,201,11,0.96,5,"t"
22118732,48118705,"2015/11/04","within an hour",100,96,"t",41,"['email', 'phone', 'work_email']","Ward 54",-33.95333,18.38079,"Entire home/apt",2,1,1,1,2919,2,60,2.2,60,11,14,30,232,93,0.99,4.88,"f"
39718796,280294248,"2019/07/29","within an hour",100,88,"t",2,"['email', 'phone']","Ward 113",-33.82242,18.50706,"Private room",1,1,1,1,537,3,28,3,28,0,29,59,334,10,0.14,5,"f"
20868268,23014463,"2014/10/27","within a few hours",90,20,"f",4,"['email', 'phone', 'work_email']","Ward 74",-34.02595,18.35312,"Entire home/apt",4,1,1,2,1891,2,1125,2,1125,29,59,85,343,2,0.02,4.5,"f"
28038998,49190523,"2015/11/16","within an hour",100,95,"t",2,"['email', 'phone']","Ward 77",-33.92642,18.406,"Entire home/apt",2,1,1,1,4019,2,1124,2,1125,9,25,39,271,285,3.3,4.99,"f"
16402298,49150715,"2015/11/16","within an hour",100,89,"f",1,"['email', 'phone']","Ward 85",-34.12052,18.83881,"Entire home/apt",4,0,0,2,650,1,90,1.3,90,30,60,90,365,15,0.14,4.47,"f"
1.4e+18,687881854,"2025/04/03","within an hour",100,100,"f",9,"['email', 'phone']","Ward 105",-33.79156588,18.58156239,"Entire home/apt",2,1,1,1,1292,2,365,1.1,731,14,42,54,229,1,0.28,4,"t"
9.39e+17,62093209,"2016/03/08","within a few hours",90,92,"f",25,"['email', 'phone']","Ward 57",-33.9532489,18.4727706,"Private room",1,3,1,1,325,7,365,7,365,28,58,88,363,2,0.24,3.5,"f"
1.37e+18,30471225,"2015/04/02","within an hour",99,99,"t",22,"['email', 'phone', 'work_email']","Ward 115",-33.9164026,18.4178684,"Entire home/apt",2,1,1,1,1686,4,365,4.2,1125,4,14,42,259,9,1.33,5,"t"
52926470,166725659,"2018/01/09","within a few hours",100,93,"t",2,"['email', 'phone']","Ward 61",-34.14412,18.33506,"Entire home/apt",3,1,2,2,909,1,1125,1,1125,0,0,7,235,18,0.41,4.72,"f"
8.17e+17,3074327,"2012/07/27","within an hour",100,91,"t",3,"['email', 'phone']","Ward 64",-34.1230469,18.4305024,"Entire home/apt",2,1,1,1,1370,3,365,3,365,4,23,38,277,23,0.75,4.96,"f"
49804328,218745884,"2018/10/04","within an hour",100,96,"t",148,"['phone', 'work_email']","Ward 115",-33.91314,18.41866,"Entire home/apt",2,1,1,1,1602,2,1125,2,1125,25,41,70,326,149,2.8,4.85,"f"
14344724,9253804,"2013/10/06","within a day",100,100,"f",2,"['email', 'phone']","Ward 74",-34.03473,18.35014,"Entire home/apt",6,4.5,2,2,3040,5,1125,5,1125,0,0,0,210,18,0.17,4.28,"t"
1.26e+18,7335710,"2013/07/07","within an hour",100,100,"t",19,"['email', 'phone', 'work_email']","Ward 115",-33.92606751,18.41597032,"Entire home/apt",2,1,1,1,859,3,365,3,1125,6,9,36,250,9,0.76,4.89,"t"
1.23e+18,11324137,"2014/01/15","within an hour",100,97,"t",9,"['email', 'phone']","Ward 115",-33.91805,18.4226,"Entire home/apt",2,1,1,2,888,2,40,2,40,7,17,25,199,14,1.18,4.93,"f"
1.26e+18,172110226,"2018/02/07","within an hour",100,100,"f",48,"['email', 'phone', 'work_email']","Ward 23",-33.80188423,18.46194873,"Entire home/apt",4,2,2,3,2029,4,90,3,731,11,28,49,169,4,0.41,5,"t"
30975584,57218252,"2016/02/03","within an hour",100,90,"f",176,"['phone']","Ward 115",-33.90972,18.40156,"Entire home/apt",6,3,3,3,3097,4,365,3.4,365,12,21,31,284,92,1.12,4.62,"f"
6.5e+17,73439,"2010/01/25","within a few hours",100,84,"t",5,"['email', 'phone']","Ward 59",-33.98077,18.45675,"Entire home/apt",4,2,2,2,1300,2,27,2,27,3,6,12,54,11,0.36,5,"f"
1.2e+18,590117003,"2024/07/16","within an hour",100,100,"f",1,"['email', 'phone']","Ward 54",-33.9173083,18.388356,"Entire home/apt",2,1,0,1,1441,1,365,1.3,1125,28,30,30,30,10,0.7,4.6,"t"
6499027,33970752,"2015/05/22","within a few hours",100,27,"f",2,"['email', 'phone', 'work_email']","Ward 74",-34.00913,18.34307,"Entire home/apt",8,4,4,6,4500,2,90,3,90,7,18,39,225,21,0.17,4.95,"f"
12119386,16360772,"2014/06/04","within an hour",100,97,"f",1,"['email', 'phone', 'work_email']","Ward 54",-33.91437,18.39671,"Entire home/apt",2,1,1,1,920,4,730,4,730,1,13,41,316,124,1.17,4.68,"t"
6.84e+17,377676696,"2020/11/30","a few days or more",0,40,"f",1,"['phone']","Ward 115",-33.91771,18.42152,"Entire home/apt",2,1,1,1,1890,2,365,2,365,29,59,81,347,18,0.58,4.83,"f"
1.03e+18,165787850,"2018/01/04","within a day",100,67,"t",1,"['email', 'phone']","Ward 64",-34.1079968,18.4696134,"Entire home/apt",2,1,1,1,920,2,360,2,1125,29,59,76,339,16,0.74,5,"f"
7.35e+17,483125250,"2022/10/11","within an hour",100,100,"t",1,"['email', 'phone']","Ward 83",-34.11378,18.82322,"Entire home/apt",2,1.5,0,1,1407,2,1125,2,1125,19,37,56,304,31,0.86,4.74,"f"
7.37e+17,78235075,"2016/06/17","within a day",100,72,"f",2,"['email', 'phone', 'work_email']","Ward 54",-33.9275509,18.3777779,"Entire home/apt",4,2,2,0,5984,2,27,2,27,0,0,6,6,5,0.14,4.6,"f"
7.87e+17,138154596,"2017/07/02","within an hour",100,90,"t",4,"['email', 'phone']","Ward 64",-34.09951613,18.47354461,"Entire home/apt",2,1,1,1,675,2,365,2,365,29,59,60,335,22,0.66,4.82,"f"
6.76e+17,18654929,"2014/07/22","within an hour",100,97,"t",2,"['email', 'phone']","Ward 54",-33.92158,18.38164,"Entire home/apt",2,1,1,1,1384,2,365,4.5,1125,18,48,74,344,62,1.62,4.94,"t"
1.13e+18,9669737,"2013/10/27","within an hour",99,100,"t",25,"['email', 'phone']","Ward 115",-33.92359,18.42147,"Entire home/apt",2,1,1,1,1542,1,30,1,1125,8,38,68,338,30,1.88,4.93,"t"
9.67e+17,90798683,"2016/08/19","within an hour",100,97,"t",55,"['email', 'phone']","Ward 115",-33.90908125,18.39778326,"Entire home/apt",2,1,0,1,915,2,1125,2,940.3,13,43,61,320,30,1.26,4.93,"f"
1.11e+18,125516674,"2017/04/12","within an hour",100,97,"t",1,"['phone']","Ward 15",-34.06207078,18.85228258,"Entire home/apt",2,1,1,0,830,1,365,1,365,20,42,72,252,30,1.62,5,"f"
18983437,132425309,"2017/05/29","within a few hours",100,94,"t",1,"['email', 'phone']","Ward 54",-33.91963,18.38247,"Entire home/apt",6,3,3,4,5786,3,30,3,1125,2,10,18,198,161,1.63,4.98,"f"
1.35e+18,675810266,"2025/01/29","within a few hours",100,100,"f",1,"['email', 'phone']","Ward 64",-34.125394,18.450384,"Entire home/apt",2,1,1,2,1103,2,150,2,150,0,26,47,300,4,0.6,4.75,"f"
1.19e+18,57824617,"2016/02/08","within an hour",100,99,"t",73,"['email', 'phone']","Ward 115",-33.91706,18.42097,"Entire home/apt",2,1,1,1,1322,1,365,1,365,19,35,65,142,16,1.09,4.94,"f"
54325650,288460515,"2019/08/23","within a day",100,78,"f",1,"['email', 'phone']","Ward 107",-33.8256,18.48603,"Entire home/apt",4,1.5,2,2,1005,2,1125,2,1125,0,26,45,310,20,0.55,4.8,"f"
5713734,29623317,"2015/03/19","within an hour",100,83,"t",1,"['email', 'phone']","Ward 73",-34.03955,18.45708,"Entire home/apt",2,1,0,1,665,2,40,2,40,29,40,58,148,57,0.46,4.74,"f"
1.47e+18,105738000,"2016/11/30","within an hour",100,98,"f",2,"['email', 'phone']","Ward 83",-34.11859442,18.82915523,"Entire home/apt",2,1,1,1,391,1,1125,1,1125,0,0,0,269,2,0.88,4,"f"
1.01e+18,543947157,"2023/10/29","within a few hours",100,100,"f",1,"['email', 'phone']","Ward 61",-34.1536395,18.4278597,"Entire home/apt",2,1,1,1,904,2,90,2,90,18,36,62,326,10,0.45,4.9,"f"
1.14e+18,4212036,"2012/11/21","within an hour",100,100,"t",2,"['email', 'phone']","Ward 115",-33.89997742,18.40789285,"Entire home/apt",2,1,1,1,904,2,365,2,365,22,48,70,307,48,2.81,4.85,"f"
44311611,55761706,"2016/01/23","within an hour",98,100,"f",12,"['email', 'phone']","Ward 115",-33.91587,18.42073,"Entire home/apt",2,1,1,1,1252,1,32,1,1125,29,59,85,260,216,3.45,4.64,"t"
1.13e+18,551075151,"2023/12/15","within an hour",100,100,"f",46,"['phone']","Ward 54",-33.9128577,18.39203,"Entire home/apt",2,1,0,1,1369,1,60,1.9,1125,17,47,68,343,5,0.3,5,"f"
1.03e+18,160477299,"2017/11/28","within an hour",80,97,"f",3,"['email', 'phone']","Ward 102",-33.84885,18.70249,"Entire home/apt",2,1,1,2,858,1,365,1,365,29,59,89,269,12,0.54,4.33,"f"
20414846,46258787,"2015/10/11","within an hour",100,100,"t",3,"['email', 'phone']","Ward 54",-33.9191619,18.3871124,"Entire home/apt",2,1,1,1,881,20,365,19.6,1125,1,14,15,137,4,0.41,5,"t"
34211272,71862364,"2016/05/13","within an hour",100,100,"t",1,"['email', 'phone']","Ward 115",-33.9275,18.415,"Entire home/apt",2,1.5,1,1,956,1,20,1,1125,25,43,69,307,238,3.15,4.87,"t"
1.49e+18,713102263,"2025/08/12","within an hour",100,95,"f",3,"['phone']","Ward 57",-33.9307471,18.4520418,"Private room",2,1,1,1,2300,1,365,1,365,27,57,87,362,2,2,3,"f"
1.25e+18,50182758,"2015/11/30","within a few hours",100,77,"t",2,"['email', 'phone']","Ward 77",-33.9349102,18.414229,"Entire home/apt",2,1,1,1,1086,2,365,2,365,14,44,74,330,6,0.5,4.83,"f"
46015444,118995155,"2017/03/03","within an hour",100,97,"t",11,"['email', 'phone']","Ward 1",-33.887,18.56396,"Private room",2,1.5,1,1,850,1,1125,1,731,24,53,69,120,82,1.41,4.63,"f"
8.73e+17,464004682,"2022/06/13","within a few hours",100,82,"f",6,"['email', 'phone']","Ward 107",-33.82204,18.47839,"Entire home/apt",4,2,2,2,2153,2,1125,2,1125,30,55,64,335,9,0.32,4.44,"f"
1.22e+18,596502552,"2024/08/16","within a day",100,67,"f",1,"['email', 'phone']","Ward 104",-33.8006064,18.5278476,"Private room",1,1,1,2,232,30,1125,30,1125,0,26,56,236,1,1,5,"f"
8.54e+17,175407707,"2018/02/26","within an hour",100,100,"t",2,"['email', 'phone', 'work_email']","Ward 57",-33.96063274,18.47720783,"Entire home/apt",4,2,3,3,2150,3,350,3,350,9,18,24,249,68,2.27,4.94,"f"
15299952,35367629,"2015/06/09","within an hour",100,100,"f",1,"['email', 'phone']","Ward 54",-33.91831,18.3867,"Entire home/apt",4,2,2,4,3145,2,365,2,1125,10,22,29,187,195,1.83,4.63,"t"
1.07e+18,265331427,"2019/05/31","within a day",100,47,"t",2,"['email', 'phone', 'work_email']","Ward 23",-33.73098,18.43783,"Entire home/apt",2,1,1,2,874,1,365,1,365,23,49,61,311,12,0.61,5,"f"
1.04e+18,24135945,"2014/11/25","within a few hours",100,82,"f",4,"['email', 'phone']","Ward 115",-33.91963695,18.41932346,"Entire home/apt",2,1,1,1,1125,30,1125,30,1125,25,55,85,100,4,0.19,3,"t"
1.3e+18,664199663,"2024/11/27","within an hour",100,100,"t",1,"['email', 'phone']","Ward 54",-33.93330381,18.37853986,"Entire home/apt",6,3.5,3,3,8442,3,365,3.2,1125,30,46,60,322,7,0.71,4.86,"t"
8.09e+17,72360199,"2016/05/16","within an hour",100,68,"f",12,"['email', 'phone', 'work_email']","Ward 115",-33.92018,18.43451,"Entire home/apt",2,1,1,1,1308,20,365,20.4,365,0,19,49,324,10,0.33,5,"f"
8.89e+17,69819928,"2016/05/01","within an hour",100,67,"f",1,"['email', 'phone']","Ward 115",-33.90920149,18.40680567,"Entire home/apt",2,1,1,1,1148,3,365,3,365,0,11,41,224,2,0.33,5,"f"
1.33e+18,13945972,"2014/04/06","within an hour",100,99,"t",6,"['email', 'phone']","Ward 64",-34.12553,18.44915,"Entire home/apt",2,1,1,1,1125,3,90,3.6,1125,29,59,82,338,8,1.11,4.88,"f"
1.18e+18,552176309,"2023/12/22","within an hour",97,45,"f",6,"['email', 'phone']","Ward 70",-33.8839858,18.6140067,"Private room",2,1,1,1,520,1,365,1,365,30,60,90,365,8,0.6,4.5,"f"
9899688,77379138,"2016/06/12","within an hour",100,100,"f",2,"['email', 'phone']","Ward 77",-33.93479,18.42062,"Entire home/apt",4,1.5,2,2,800,6,90,6,1125,30,35,60,240,55,0.46,4.85,"f"
8.54e+17,119597455,"2017/03/07","within an hour",100,75,"f",1,"['email', 'phone']","Ward 23",-33.8006431,18.4595199,"Entire home/apt",10,4.5,5,5,7522,4,30,3.3,30,23,42,65,249,9,0.42,5,"f"
1.42e+18,693834112,"2025/05/05","within a few hours",90,100,"f",3,"['email', 'phone']","Ward 70",-33.87071871,18.60856386,"Private room",2,1,1,1,1029,1,21,1,21,22,52,81,332,2,0.48,4.5,"f"
1.11e+18,437836003,"2021/12/28","within an hour",100,99,"f",165,"['email', 'phone']","Ward 115",-33.9182604,18.4179181,"Entire home/apt",2,1,1,1,971,1,365,3.8,365,24,54,75,332,22,1.22,4.73,"t"
1.3e+18,663869306,"2024/11/25","within an hour",100,100,"f",1,"['email', 'phone']","Ward 115",-33.91822958,18.41776831,"Entire home/apt",8,4,4,4,5286,2,21,2.6,21,17,47,77,346,13,1.78,4.62,"t"
4352782,22573193,"2014/10/15","within a few hours",100,100,"t",1,"['email', 'phone']","Ward 61",-34.13218,18.34221,"Entire home/apt",7,3,3,5,2655,3,190,3,190,0,0,0,44,194,1.48,4.94,"f"
1.48e+18,8108425,"2013/08/12","within an hour",100,90,"t",72,"['email', 'phone', 'work_email']","Ward 115",-33.9142858,18.4182885,"Entire home/apt",2,1,1,1,1106,2,365,3.2,199.8,7,7,7,274,4,2.73,5,"t"
8978439,15233310,"2015/06/14","within a day",90,50,"f",1,"['email', 'phone', 'work_email']","Ward 107",-33.8302,18.4829,"Entire home/apt",6,2,3,4,2803,5,90,5,90,4,16,16,227,38,0.32,4.97,"f"
7.81e+17,192091775,"2018/05/28","within an hour",100,95,"t",2,"['email', 'phone']","Ward 54",-33.92023,18.38262,"Entire home/apt",4,2,2,2,3350,3,90,3.3,1125,15,30,40,300,83,2.49,4.95,"f"
54116964,13831403,"2014/04/02","within an hour",100,88,"t",7,"['email', 'phone', 'work_email']","Ward 74",-34.0403,18.36464,"Entire home/apt",6,4.5,3,3,6466,1,365,1.3,1125,15,34,37,242,11,0.52,5,"t"
5.65e+17,25679101,"2015/01/06","within a few hours",96,73,"t",33,"['email', 'phone', 'work_email']","Ward 54",-33.94205,18.37526,"Entire home/apt",8,4,4,4,16379,2,1125,2,1125,30,60,90,354,8,0.19,4.88,"f"
23782227,24603467,"2014/12/08","within an hour",100,96,"t",2,"['email', 'phone']","Ward 61",-34.14169,18.32709,"Entire home/apt",2,1,1,1,648,4,1125,4,1125,11,15,29,62,91,1,4.88,"f"
1.13e+18,2968728,"2012/07/17","within a day",100,100,"t",2,"['email', 'phone']","Ward 115",-33.92098005,18.41695753,"Entire home/apt",4,2.5,2,2,1464,2,365,2.4,1125,14,31,60,295,18,1.63,4.78,"f"
1.31e+18,660809564,"2024/11/06","within a day",80,96,"f",25,"['email', 'phone']","Ward 26",-33.9072353,18.58217933,"Entire home/apt",3,1,3,3,636,3,365,3,365,0,0,22,297,1,0.11,3,"t"
